sku;descripcion;marca;id_categoria;presentacion;unidadcm3;unidadkg;id_proveedor
1909;RESOXX-XX-X-XXXunid;SIN DEFINIR;73;No Asignada;8.0000000000000002E-3;0.02;3
1910;PACKXX-XX-X-XXXCANA;GRIDO;56;Kilogramos;14580;5;2
1911;PACKXX-XX-X-XXXILLA;GRIDO;56;Kilogramos;14580;5;2
1912;PACKXX-XX-X-XXX X20;GRIDO;56;Kilogramos;5;5;2
1913;PACKXX-XX-X-XXX X20;GRIDO;56;Pack;14580;5;2
1914;PACKXX-XX-X-XXX X20;GRIDO;56;Pack;14580;5;2
1915;PACKXX-XX-X-XXXRIDO;GRIDO;56;Pack;14580;5;2
1916;PACKXX-XX-X-XXX X20;GRIDO;56;Kilogramos;14580;5;2
1917;PACKXX-XX-X-XXXEXPO;GRIDO;38;Unidades;0;3.2160000000000002;2
1918;PACKXX-XX-X-XXX GRS;FRIZZIO;112;Unidades;1.042;3.6000000000000001;2
1919;PACKXX-XX-X-XXX GRS;FRIZZIO;38;Kilogramos;5;5;2
1920;TAPAXX-XX-X-XXX018);SIN DEFINIR;73;No Asignada;0.10000000000000001;8.0000000000000002E-2;3
1921;SOBRXX-XX-X-XXX018);SIN DEFINIR;73;No Asignada;4.0000000000000001E-2;2.9999999999999999E-2;3
1922;KIT XX-XX-X-XXXnal);GRIDO;79;Unidades;2.3809999999999998;0;3
1923;LECTXX-XX-X-XXXARRA;SIN DEFINIR;97;Unidades;0.5;0.55000000000000004;3
1924;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;666.82000000000005;2
1925;CAPUXX-XX-X-XXX GRS;SIN DEFINIR;68;No Asignada;5;5;3
1927;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;677.72000000000003;2
1929;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;602.79999999999995;2
1930;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;709.5;2
1933;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;704.5;2
1934;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;674.98000000000002;2
1935;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;268.572;2
1936;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;670.08000000000004;2
1937;TRAVXX-XX-X-XXXGRIS;SIN DEFINIR;111;No Asignada;0.13300000000000001;0.23999999999999999;3
1938;TRAVXX-XX-X-XXXANCO;SIN DEFINIR;111;No Asignada;0.10000000000000001;0.23999999999999999;3
1939;TRAVXX-XX-X-XXXM 46;SIN DEFINIR;111;No Asignada;0.20000000000000001;0.40000000000000002;3
1956;TAPAXX-XX-X-XXXNERA;SIN DEFINIR;111;No Asignada;0.5;0.34999999999999998;3
1957;REJIXX-XX-X-XXXANCA;SIN DEFINIR;111;No Asignada;0.26700000000000002;0;3
1958;REJIXX-XX-X-XXXGRIS;SIN DEFINIR;111;No Asignada;0.10000000000000001;4.0000000000000001E-2;3
1959;REJIXX-XX-X-XXXANCA;SIN DEFINIR;111;No Asignada;0.10000000000000001;4.0000000000000001E-2;3
1960;BISAXX-XX-X-XXX3.75;SIN DEFINIR;111;No Asignada;5.2999999999999999E-2;0.26000000000000001;3
1961;MANIXX-XX-X-XXXFRIO;SIN DEFINIR;111;No Asignada;4.0000000000000001E-2;4.0000000000000001E-2;3
1966;TAPAXX-XX-X-XXXNOX.;SIN DEFINIR;111;No Asignada;1;0;3
1968;POTEXX-XX-X-XXX1 KG;SIN DEFINIR;70;Unidades;5;5;3
1969;TAPAXX-XX-X-XXXSTER;SIN DEFINIR;73;No Asignada;0;0;3
1971;VIA XX-XX-X-XXXTOS);VIA BANA;38;Unidades;1.76;261.66000000000003;2
1972;VIA XX-XX-X-XXXTOS);VIA BANA;38;Unidades;1.76;155;2
1973;GRIDXX-XX-X-XXXRIDO;GRIDO;38;Unidades;5;5;2
1974;GRIDXX-XX-X-XXXRIDO;GRIDO;38;Unidades;5;5;2
1975;GRIDXX-XX-X-XXXRIDO;GRIDO;38;Unidades;5;5;2
1976;GRIDXX-XX-X-XXXRIDO;GRIDO;38;Unidades;5;5;2
1977;GRIDXX-XX-X-XXX X20;GRIDO;38;Unidades;5;5;2
